Código,Nome da Sociedade,Data,Data_original,Endereço,Licença,Estatuto,Notação-GIFI,Tipo de licença,Obs,Presidente,Licença anterior,Nomes/Sujeitos,Doc policial,Tipo_licenca_categoria,Tipo_licenca_componentes
0,Clube Carnavalesco Filhos da Meia Lua,1905-02-27,27/02/1905,"Rua da Alegria, n. 21, São Christóvão",1,0,6c135,,,,0,0,0,vazio,
1,Clube dos Fenianos,1905-01-27,27/01/1905,,1,0,6c135,,,,0,0,0,vazio,
2,Estudantina lyrica,1905-01-23,23/01/1905,"Senador Pompeu, n.2",1,0,6c135,,,,0,0,0,vazio,
3,Gremio Carnavalesco Lira dos Dois Diamantes,,,,0,0,,,,,0,0,0,vazio,
4,Grupo Carnavalesco Sereno de Ouro,1900-02-01,01/02/1900,"Rua Barão de São Félix, n.131",1,1,6c51,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
5,Clube dos Celibatários,1900-10-07,07/10/1900,"Rua Visconde do Rio Branco, 12",1,0,6c63,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
6,Sociedade Carnavalesca Caprichosos das Chamas,1901-01-09,09/01/1901,"Rua Sara, 17",0,0,6c63,,,,0,0,0,vazio,
7,grêmio carnavalesco Filhos do Poder do Ouro,1901-02-09,09/02/1901,"rua Pedro Américo, 107",1,0,6c63,iniciar os ensaios,,,0,0,0,ensaio,ensaio
8,Clube Recreativo de São Christóvão,1901-02-16,16/02/1901,"rua da Igrejinha, 01",1,0,6c63,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
9,Clube Democrata Copacabana,1901-11-16,16/11/1901,"rua Jandira, 6",1,1,6c63,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
10,Clube Orpheon Carlos Gomes,1901-10-23,23/10/1901,"rua Barão de [ilegível], 7, santa teresa",1,1,6c63,,,,0,0,0,vazio,
11,Sociedade Dançante Familiar Flor da Mocidade,1901-02-12,12/02/1901,,1,0,6c63,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
12,Clube Recrativo Mar e Montes,1900-03-29,29/03/1900,bairro de Copacabana,1,1,6c63,funcionar no corrente ano,,,0,0,0,licenca_anual,licenca_anual
